"BINCODE"	"NAME"	"IDENTIFIER"	"DESCRIPTION"	"TYPE"	"IDENTIFIER.san"
"35.2"	"not assigned.unknown"	"grmzm2g169571_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:8:155119523:155121206:-1 gene:GRMZM2G169571 transcript:GRMZM2G169571_T01 description:\"omrna|protein\")"	"TRUE"	"grmzm2g169571"
"35.2"	"not assigned.unknown"	"grmzm2g016802_p01"	" no hits & (original description: pep:known chromosome:AGPv3:8:160073966:160077226:1 gene:GRMZM2G016802 transcript:GRMZM2G016802_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g016802"
"35.2"	"not assigned.unknown"	"grmzm2g016802_p02"	" no hits & (original description: pep:known chromosome:AGPv3:8:160073966:160077124:1 gene:GRMZM2G016802 transcript:GRMZM2G016802_T02 description:\"est\")"	"TRUE"	"grmzm2g016802"
"35.2"	"not assigned.unknown"	"grmzm2g337881_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:2320875:2322495:1 gene:GRMZM2G337881 transcript:GRMZM2G337881_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g337881"
"35.2"	"not assigned.unknown"	"grmzm2g128693_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:2362266:2363807:-1 gene:GRMZM2G128693 transcript:GRMZM2G128693_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g128693"
"35.2"	"not assigned.unknown"	"grmzm2g026083_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:2515278:2517156:1 gene:GRMZM2G026083 transcript:GRMZM2G026083_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g026083"
"35.2"	"not assigned.unknown"	"grmzm2g026189_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:2525679:2527394:1 gene:GRMZM2G026189 transcript:GRMZM2G026189_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g026189"
"35.2"	"not assigned.unknown"	"grmzm2g403407_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:2563208:2564699:1 gene:GRMZM2G403407 transcript:GRMZM2G403407_T01 description:\"omrna|protein\")"	"TRUE"	"grmzm2g403407"
"35.2"	"not assigned.unknown"	"grmzm5g827455_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:2582504:2583985:1 gene:GRMZM5G827455 transcript:GRMZM5G827455_T01 description:\"oprotein\")"	"TRUE"	"grmzm5g827455"
"35.2"	"not assigned.unknown"	"grmzm2g382273_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:28278050:28283085:1 gene:GRMZM2G382273 transcript:GRMZM2G382273_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g382273"
"35.2"	"not assigned.unknown"	"grmzm2g038388_p01"	" no hits & (original description: pep:known chromosome:AGPv3:7:28331519:28335396:1 gene:GRMZM2G038388 transcript:GRMZM2G038388_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g038388"
"35.2"	"not assigned.unknown"	"grmzm2g060714_p01"	" no hits & (original description: pep:known chromosome:AGPv3:7:28599482:28602195:1 gene:GRMZM2G060714 transcript:GRMZM2G060714_T01 description:\"abinitio|cdna|est\")"	"TRUE"	"grmzm2g060714"
"35.2"	"not assigned.unknown"	"grmzm2g060714_p02"	" no hits & (original description: pep:known chromosome:AGPv3:7:28600287:28601970:1 gene:GRMZM2G060714 transcript:GRMZM2G060714_T02 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g060714"
"35.2"	"not assigned.unknown"	"grmzm2g163860_p01"	" no hits & (original description: pep:known chromosome:AGPv3:7:89937660:89957628:-1 gene:GRMZM2G163860 transcript:GRMZM2G163860_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g163860"
"35.2"	"not assigned.unknown"	"grmzm2g163860_p02"	" no hits & (original description: pep:known chromosome:AGPv3:7:89912626:89915749:-1 gene:GRMZM2G163860 transcript:GRMZM2G163860_T02 description:\"abinitio\")"	"TRUE"	"grmzm2g163860"
"35.2"	"not assigned.unknown"	"grmzm2g163860_p03"	" no hits & (original description: pep:known chromosome:AGPv3:7:89912626:89957628:-1 gene:GRMZM2G163860 transcript:GRMZM2G163860_T03 description:\"est|oprotein\")"	"TRUE"	"grmzm2g163860"
"35.2"	"not assigned.unknown"	"grmzm5g825192_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:90816756:90817949:1 gene:GRMZM5G825192 transcript:GRMZM5G825192_T01 description:\"omrna\")"	"TRUE"	"grmzm5g825192"
"35.2"	"not assigned.unknown"	"grmzm2g176403_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:140295380:140296477:1 gene:GRMZM2G176403 transcript:GRMZM2G176403_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g176403"
"35.2"	"not assigned.unknown"	"grmzm5g827121_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:140363758:140365602:-1 gene:GRMZM5G827121 transcript:GRMZM5G827121_T01 description:\"oprotein\")"	"TRUE"	"grmzm5g827121"
"35.2"	"not assigned.unknown"	"grmzm2g397557_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:7:148737081:148741183:1 gene:GRMZM2G397557 transcript:GRMZM2G397557_T01 description:\"abinitio|est\")"	"TRUE"	"grmzm2g397557"
"35.2"	"not assigned.unknown"	"grmzm2g028713_p01"	" no hits & (original description: pep:known chromosome:AGPv3:7:148771846:148784786:-1 gene:GRMZM2G028713 transcript:GRMZM2G028713_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g028713"
"35.2"	"not assigned.unknown"	"grmzm2g054946_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:6:5444264:5447584:-1 gene:GRMZM2G054946 transcript:GRMZM2G054946_T01 description:\"abinitio|est|protein\")"	"TRUE"	"grmzm2g054946"
"35.2"	"not assigned.unknown"	"ac193598.3_fgp002"	" no hits & (original description: pep:novel chromosome:AGPv3:6:5506218:5510111:1 gene:AC193598.3_FG002 transcript:AC193598.3_FGT002 description:\"abinitio\")"	"TRUE"	"ac193598.3"
"35.2"	"not assigned.unknown"	"grmzm2g306727_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:6:7232528:7235241:-1 gene:GRMZM2G306727 transcript:GRMZM2G306727_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g306727"
"35.2"	"not assigned.unknown"	"grmzm2g334584_p01"	" no hits & (original description: pep:known chromosome:AGPv3:6:8100151:8105044:-1 gene:GRMZM2G334584 transcript:GRMZM2G334584_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g334584"
"35.2"	"not assigned.unknown"	"ac195587.4_fgp003"	" no hits & (original description: pep:known chromosome:AGPv3:6:78632437:78634973:1 gene:AC195587.4_FG003 transcript:AC195587.4_FGT003 description:\"est\")"	"TRUE"	"ac195587.4"
"35.2"	"not assigned.unknown"	"ac195587.4_fgp004"	" no hits & (original description: pep:novel chromosome:AGPv3:6:78774141:78783661:1 gene:AC195587.4_FG004 transcript:AC195587.4_FGT004 description:\"abinitio\")"	"TRUE"	"ac195587.4"
"35.2"	"not assigned.unknown"	"grmzm2g082112_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:6:98424341:98454553:1 gene:GRMZM2G082112 transcript:GRMZM2G082112_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g082112"
"35.2"	"not assigned.unknown"	"grmzm2g002656_p01"	" no hits & (original description: pep:known chromosome:AGPv3:6:129006368:129016640:-1 gene:GRMZM2G002656 transcript:GRMZM2G002656_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g002656"
"35.2"	"not assigned.unknown"	"grmzm2g116335_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:6:155791613:155793164:1 gene:GRMZM2G116335 transcript:GRMZM2G116335_T01 description:\"omrna|protein\")"	"TRUE"	"grmzm2g116335"
"35.2"	"not assigned.unknown"	"grmzm2g440849_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:6:155800098:155801930:1 gene:GRMZM2G440849 transcript:GRMZM2G440849_T01 description:\"abinitio|protein\")"	"TRUE"	"grmzm2g440849"
"35.2"	"not assigned.unknown"	"grmzm2g180244_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:2052395:2058076:-1 gene:GRMZM2G180244 transcript:GRMZM2G180244_T01 description:\"abinitio|cdna|est|omrna\")"	"TRUE"	"grmzm2g180244"
"35.2"	"not assigned.unknown"	"grmzm2g180254_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:2127268:2133476:-1 gene:GRMZM2G180254 transcript:GRMZM2G180254_T01 description:\"abinitio|est\")"	"TRUE"	"grmzm2g180254"
"35.2"	"not assigned.unknown"	"grmzm2g437314_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:2260118:2263935:-1 gene:GRMZM2G437314 transcript:GRMZM2G437314_T01 description:\"omrna|protein\")"	"TRUE"	"grmzm2g437314"
"35.2"	"not assigned.unknown"	"grmzm5g819919_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:2845697:2849082:1 gene:GRMZM5G819919 transcript:GRMZM5G819919_T01 description:\"oprotein\")"	"TRUE"	"grmzm5g819919"
"35.2"	"not assigned.unknown"	"grmzm2g004412_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:2987324:2996389:1 gene:GRMZM2G004412 transcript:GRMZM2G004412_T01 description:\"est|protein\")"	"TRUE"	"grmzm2g004412"
"35.2"	"not assigned.unknown"	"ac152495.1_fgp002"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3283523:3287419:-1 gene:AC152495.1_FG002 transcript:AC152495.1_FGT002 description:\"abinitio\")"	"TRUE"	"ac152495.1"
"35.2"	"not assigned.unknown"	"ac152495.1_fgp003"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3299975:3307226:-1 gene:AC152495.1_FG003 transcript:AC152495.1_FGT003 description:\"cdna|protein\")"	"TRUE"	"ac152495.1"
"35.2"	"not assigned.unknown"	"ac152495.1_fgp010"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3372154:3376038:-1 gene:AC152495.1_FG010 transcript:AC152495.1_FGT010 description:\"abinitio\")"	"TRUE"	"ac152495.1"
"35.2"	"not assigned.unknown"	"ac152495.1_fgp011"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3377385:3378752:1 gene:AC152495.1_FG011 transcript:AC152495.1_FGT011 description:\"abinitio\")"	"TRUE"	"ac152495.1"
"35.2"	"not assigned.unknown"	"ac152495.1_fgp012"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3385712:3388278:-1 gene:AC152495.1_FG012 transcript:AC152495.1_FGT012 description:\"abinitio\")"	"TRUE"	"ac152495.1"
"35.2"	"not assigned.unknown"	"ac152495.1_fgp013"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3396644:3399693:1 gene:AC152495.1_FG013 transcript:AC152495.1_FGT013 description:\"abinitio\")"	"TRUE"	"ac152495.1"
"35.2"	"not assigned.unknown"	"ac152495.1_fgp015"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3404105:3405367:-1 gene:AC152495.1_FG015 transcript:AC152495.1_FGT015 description:\"abinitio\")"	"TRUE"	"ac152495.1"
"35.2"	"not assigned.unknown"	"ac152495.1_fgp017"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3441445:3444666:-1 gene:AC152495.1_FG017 transcript:AC152495.1_FGT017 description:\"abinitio\")"	"TRUE"	"ac152495.1"
"35.2"	"not assigned.unknown"	"grmzm5g879178_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:3445065:3449748:-1 gene:GRMZM5G879178 transcript:GRMZM5G879178_T01 description:\"cdna|est\")"	"TRUE"	"grmzm5g879178"
"35.2"	"not assigned.unknown"	"grmzm5g879178_p02"	" no hits & (original description: pep:known chromosome:AGPv3:10:3445065:3449748:-1 gene:GRMZM5G879178 transcript:GRMZM5G879178_T02 description:\"est\")"	"TRUE"	"grmzm5g879178"
"35.2"	"not assigned.unknown"	"grmzm2g069382_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:3571990:3590706:-1 gene:GRMZM2G069382 transcript:GRMZM2G069382_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g069382"
"35.2"	"not assigned.unknown"	"grmzm2g083246_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3645995:3648135:-1 gene:GRMZM2G083246 transcript:GRMZM2G083246_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g083246"
"35.2"	"not assigned.unknown"	"grmzm2g083258_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3649253:3650329:-1 gene:GRMZM2G083258 transcript:GRMZM2G083258_T01 description:\"abinitio|est|omrna\")"	"TRUE"	"grmzm2g083258"
"35.2"	"not assigned.unknown"	"grmzm2g143769_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3687121:3688770:-1 gene:GRMZM2G143769 transcript:GRMZM2G143769_T01 description:\"abinitio|protein\")"	"TRUE"	"grmzm2g143769"
"35.2"	"not assigned.unknown"	"grmzm2g443939_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:3700999:3705985:-1 gene:GRMZM2G443939 transcript:GRMZM2G443939_T01 description:\"cdna|est\")"	"TRUE"	"grmzm2g443939"
"35.2"	"not assigned.unknown"	"grmzm2g443939_p02"	" no hits & (original description: pep:known chromosome:AGPv3:10:3700999:3705531:-1 gene:GRMZM2G443939 transcript:GRMZM2G443939_T02 description:\"abinitio|cdna|est|omrna\")"	"TRUE"	"grmzm2g443939"
"35.2"	"not assigned.unknown"	"grmzm2g349565_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:3767328:3769922:-1 gene:GRMZM2G349565 transcript:GRMZM2G349565_T01 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g349565"
"35.2"	"not assigned.unknown"	"grmzm2g003625_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:3849433:3854134:-1 gene:GRMZM2G003625 transcript:GRMZM2G003625_T01 description:\"abinitio|est|omrna\")"	"TRUE"	"grmzm2g003625"
"35.2"	"not assigned.unknown"	"grmzm2g003625_p02"	" no hits & (original description: pep:known chromosome:AGPv3:10:3849819:3853981:-1 gene:GRMZM2G003625 transcript:GRMZM2G003625_T02 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g003625"
"35.2"	"not assigned.unknown"	"grmzm2g061742_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:3907357:3911655:-1 gene:GRMZM2G061742 transcript:GRMZM2G061742_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g061742"
"35.2"	"not assigned.unknown"	"grmzm2g005134_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:3983698:3989918:-1 gene:GRMZM2G005134 transcript:GRMZM2G005134_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g005134"
"35.2"	"not assigned.unknown"	"grmzm2g005134_p02"	" no hits & (original description: pep:known chromosome:AGPv3:10:3983698:3989918:-1 gene:GRMZM2G005134 transcript:GRMZM2G005134_T02 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g005134"
"35.2"	"not assigned.unknown"	"grmzm2g350841_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:5006086:5010500:-1 gene:GRMZM2G350841 transcript:GRMZM2G350841_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g350841"
"35.2"	"not assigned.unknown"	"grmzm2g381429_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:9907952:9921133:1 gene:GRMZM2G381429 transcript:GRMZM2G381429_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g381429"
"35.2"	"not assigned.unknown"	"ac203972.3_fgp001"	" no hits & (original description: pep:known chromosome:AGPv3:10:27655922:27658633:1 gene:AC203972.3_FG001 transcript:AC203972.3_FGT001 description:\"abinitio\")"	"TRUE"	"ac203972.3"
"35.2"	"not assigned.unknown"	"ac203972.3_fgp003"	" no hits & (original description: pep:novel chromosome:AGPv3:10:27722809:27723479:-1 gene:AC203972.3_FG003 transcript:AC203972.3_FGT003 description:\"abinitio\")"	"TRUE"	"ac203972.3"
"35.2"	"not assigned.unknown"	"grmzm2g032751_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:69613787:69619993:-1 gene:GRMZM2G032751 transcript:GRMZM2G032751_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g032751"
"35.2"	"not assigned.unknown"	"grmzm2g060054_p02"	" no hits & (original description: pep:novel chromosome:AGPv3:10:83681541:83694047:1 gene:GRMZM2G060054 transcript:GRMZM2G060054_T02 description:\"est\")"	"TRUE"	"grmzm2g060054"
"35.2"	"not assigned.unknown"	"grmzm2g142680_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:94979016:94982685:1 gene:GRMZM2G142680 transcript:GRMZM2G142680_T01 description:\"abinitio|est|omrna\")"	"TRUE"	"grmzm2g142680"
"35.2"	"not assigned.unknown"	"grmzm2g098677_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:97329693:97333952:1 gene:GRMZM2G098677 transcript:GRMZM2G098677_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g098677"
"35.2"	"not assigned.unknown"	"grmzm2g098697_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:97338667:97343212:1 gene:GRMZM2G098697 transcript:GRMZM2G098697_T01 description:\"abinitio|est|protein\")"	"TRUE"	"grmzm2g098697"
"35.2"	"not assigned.unknown"	"grmzm2g098697_p02"	" no hits & (original description: pep:known chromosome:AGPv3:10:97338667:97340954:1 gene:GRMZM2G098697 transcript:GRMZM2G098697_T02 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g098697"
"35.2"	"not assigned.unknown"	"grmzm2g397785_p01"	" no hits & (original description: pep:known chromosome:AGPv3:10:97377587:97383756:1 gene:GRMZM2G397785 transcript:GRMZM2G397785_T01 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g397785"
"35.2"	"not assigned.unknown"	"grmzm2g397788_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:97386757:97389185:-1 gene:GRMZM2G397788 transcript:GRMZM2G397788_T01 description:\"omrna|protein\")"	"TRUE"	"grmzm2g397788"
"35.2"	"not assigned.unknown"	"grmzm2g099172_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:97395092:97396148:-1 gene:GRMZM2G099172 transcript:GRMZM2G099172_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g099172"
"35.2"	"not assigned.unknown"	"grmzm2g097813_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:10:134993615:134995534:1 gene:GRMZM2G097813 transcript:GRMZM2G097813_T01 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g097813"
